feature,type,psi,status
CardBrand,categorical,1.7813394584011262,drift
active_debt,numeric,1.7621164895941215,drift
avg_check_90,numeric,1.682542715971628,drift
CardLevel,categorical,0.9699104165256268,drift
CardType,categorical,0.8228813540444999,drift
OccupationType,categorical,0.5892248510658551,drift
PositionType,categorical,0.5870279300740076,drift
active_count,numeric,0.5756983070451775,drift
MainDebt,numeric,0.5386739807205562,drift
CH_length,numeric,0.36616176591086225,drift
count_over_loan,numeric,0.18764245817686762,warning
avg_cred_sum_paid,numeric,0.17393558656956137,warning
max_overdue_days,numeric,0.17315847439206078,warning
fpd30_percent,numeric,0.1379364107026625,warning
avg_fact_term,numeric,0.1378184804562319,warning
LoanSerialNumber,numeric,0.12864390470007114,warning
FieldOfActivity,categorical,0.12725363497867542,warning
WorkExperience,categorical,0.11423104305566407,warning
cred_day_overdue_sum,numeric,0.10744853023801654,warning
EducationType,categorical,0.10503621672508323,warning
count_cession_6m,numeric,0.10103633401843246,warning
IncomeAmount,numeric,0.08269566771266743,stable
fpd5_90D_percent,numeric,0.06325208431874671,stable
avg_cred_sum_paid_45,numeric,0.055727788219664405,stable
closed_count_60,numeric,0.055368981426180394,stable
avg_cred_sum_overdue,numeric,0.05273170996338643,stable
count_cred_prolong_120d,numeric,0.04691256773589253,stable
MaritalStatus,categorical,0.038636564596762575,stable
OVERDUE_SHARE_SUM,numeric,0.03738807300447915,stable
avg_cred_prolong,numeric,0.03299595413536794,stable
closed_count_30,numeric,0.032856185085359896,stable
OS,categorical,0.028888377479323765,stable
open_count_30d,numeric,0.027154520010160305,stable
closed_count_14,numeric,0.02236063484133722,stable
mrz_overdue_share,numeric,0.01982974896795932,stable
Timezone,categorical,0.01877789102980518,stable
age,numeric,0.01612748779022173,stable
closed_after_one_cession,numeric,0.01118235975622297,stable
gadget,categorical,0.010070771822759337,stable
avg_cred_sum_overdue_90d,numeric,0.007990090306191343,stable
closed_sum_60,numeric,0.007310097099060572,stable
closed_sum_30,numeric,0.005606550459197578,stable
closed_sum_14,numeric,0.0027688220389079916,stable
Sex,categorical,0.0003875745035356471,stable
IsRegistrationAddressCoincides,numeric,0.0,stable
ActualIsPrivateHouse,numeric,0.0,stable
